2024-07-21 19:07:481 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:211 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (59240bfbb817c1b85e917f9e305695ca)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:483 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:135 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (8c9ec563a56dfe149f9235acaaf36056)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:885 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:734 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (64e6d2bf21c8c7608c36d6b1a4c4edb7)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:136 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:810 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (cab3d4fde5c37aaaecdd2b50a6023ce8)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:947 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:645 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (c7bcfd83c45e38485e45b250f5c19326)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:884 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:571 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (42c5465475301bd47dfdf2074aeefd0f)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:316 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:44 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (28d7b6623148d055bc06d0f32894abfd)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:323 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:996 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (b68628603ff664810158b58d736cbbd4)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:683 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:335 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (4464344fc4a9f6f23cb6f1044b9ccd8f)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:925 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:610 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (9d30f2ec3a1cb128a560a3edc76c02b9)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:353 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:791 INFO  ManageBrowser :34 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (ecfe5a4a749751b81b09628c07a65fec)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:950 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:413 INFO  ManageBrowser :34 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (72b4d56aea82a1917807a3567f41a198)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:274 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:221 INFO  ManageBrowser :34 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (2f0232da8500bfc48718ec8440f17e59)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 19:07:202 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 19:07:776 INFO  ManageBrowser :34 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (77238c5666ecc2a24e1fb5c2f6b24229)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 21:07:135 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 21:07:576 INFO  ManageBrowser :34 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (55efce7c0d06b608545683710f7fd965)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-21 21:07:635 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-21 21:07:41 INFO  ManageBrowser :34 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (93e48e4d29d77a452b7037792d4ed50f)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
2024-07-22 22:07:180 INFO  ManageBrowser :31 - Chrome Browser Launch.........
2024-07-22 22:07:947 INFO  ManageBrowser :37 - Click on necessary Cookies Tab[[ChromeDriver: chrome on windows (443772cc51c89c4e267c15f6259435d0)] -> xpath: //*[@id="__tealiumGDPRecModal"]/div/div/div/div[2]/label]
